Codice_IPA,HTTPCode,CurlExitStatus
00L7M4KW,000,3
00YW4X9B,000,3
01X13U84,200,0
020CP5T6,000,3
02IKT4NA,301,0
02ZMKEL0,200,0
03YBQ4C7,000,3
044QEGSD,301,0
04UY8I1H,301,0
054,404,0
055,200,0
056,000,7
058,200,0
05GYSWFH,302,0
05O3YE9M,301,0
05O9EJDW,302,0
05TY94LO,301,0
07WB8QXR,200,0
080,301,0
092,200,0
093,301,0
0AIQ5Z0T,000,28
0B6DZIMN,000,3
0BLX4BBP,301,0
0DWK5DFK,200,0
0E843YSW,301,0
0FMNMF8Z,000,3
0HD8JCF4,000,3
0KQQXTDD,000,3
0LWWUVBK,000,28
0MQ3UPQS,000,3
0N7FO552,301,0
0OPE3620,000,3
0PH5RCJW,302,0
0Q81OFDZ,302,0
0QBSMAW1,200,0
0SGNV76C,000,28
0TK07ISH,200,0
0UE9CQ9Y,301,0
0WCM8EAW,405,0
0YNSXWD5,000,28
102,301,0
109B2JPX,302,0
11B2JNFL,301,0
13WYVHQO,301,0
15U5YKAC,302,0
15UTHMTL,301,0
16IODWCU,301,0
1B2LU14W,301,0
1CMVL,301,0
1FG1N2LG,000,60
1HA36SPJ,000,3
1I4R6HFH,000,3
1JRW5QXG,000,3
1K9JKE4Y,200,0
1KG9Y6D4,000,3
1MF1PZD3,301,0
1MPXMKGE,000,60
1NQCFG5W,200,0
1ODBWQ8Z,000,28
1P25K07V,301,0
1PMKZZPT,301,0
1QMBM9KB,301,0
1QN3996O,000,6
1R25HBXU,200,0
1R9VQFM0,200,0
1TCBA2KR,000,3
1TDVNB2B,301,0
1TISW5ZN,200,0
1TPZT8B2,200,0
1UMEMOPN,301,0
1VO9PWVQ,301,0
1Y69DAYI,000,3
1YI8V232,200,0
1YY999AI,301,0
1Z6GFCFA,200,0
1ZEHMGHD,000,3
1ZPNFOZP,000,28
21M650RW,200,0
21W263TE,301,0
23QSUC3X,301,0
245FNRH5,000,28
254G7QF2,000,3
266QY2D6,000,28
28B1JW1G,301,0
2A85YKMU,200,0
2BLMCDR6,301,0
2BLS82OD,301,0
2CD2IUF8,200,0
2CYUF4OU,301,0
2EFDYO1W,301,0
2EG4IZK1,301,0
2FATC529,301,0
2FF8D5S2,200,0
2G41WLDQ,301,0
2HA2I22L,000,28
2J459ZOC,200,0
2J7IQVPZ,000,3
2JEE5H6J,200,0
2LP4NWTB,301,0
2M9NZFR2,200,0
2N6F7AT3,301,0
2NGFCWZO,200,0
2O8E0NA9,000,3
2OYCYTVM,308,0
2POFUSZD,200,0
2Q3P0F1M,301,0
2QR9KMNO,200,0
2R3HRI01,301,0
2UCZLMB1,200,0
2WTZ8MT1,301,0
2YNKW2LR,301,0
2YOQHVIP,000,28
2Z7G71Y3,301,0
321VIYGL,000,3
34D70TTH,200,0
34QPYWJ0,200,0
34WTOIJ0,302,0
35EC5V1A,200,0
35GVD3QF,200,0
35OYU5O6,200,0
38HU6HCT,000,3
38WHGZZB,301,0
392P3CJB,200,0
3BEP4ZAX,000,6
3CRB3CUM,200,0
3EYJH0BU,000,3
3FZOB8MI,301,0
3FZT9K8P,301,0
3HCVQGVQ,200,0
3I9VYT5F,301,0
3JN4ZMWH,301,0
3JPPAJDM,301,0
3KAFLSAH,301,0
3KCOWSBJ,301,0
3KJ3AED2,301,0
3KO8VIGW,302,0
3LM92QZX,000,3
3MR8D7NT,000,28
3NJRG27J,302,0
3PQ9TZW5,301,0
3PS17TYB,301,0
3RF8YLNL,301,0
3S94F5QD,000,3
3SBF3PUB,301,0
3T9KJCT0,200,0
3TQ5QDVM,000,3
3TWJAXOP,000,3
