Codice_IPA,url,lighthouseScore,firstMeaningfulPaint,totalByteWeight,bootstrap,bootstrapItalia,bootstrap2_js,bootstrap2_css,test_dns_details,test_dns_execution_timestamp,test_dns_status,test_http_details,test_http_execution_timestamp,test_http_status,test_ssl_details,test_ssl_execution_timestamp,test_ssl_status
02IKT4NA,www.san-leo.it,,,,,,,,Resolved to 104.21.48.1,2025-02-12T12:02:42.366000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:42.371000,success,,2025-02-12T12:02:42.399000,success
044QEGSD,www.montagnebiellesi.it,,,,,,,,Resolved to 89.46.110.23,2025-02-12T12:02:42.369000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:42.381000,success,,2025-02-12T12:02:42.392000,success
01X13U84,https://www.ic1marconidiano.edu.it/,,,,,,2.0.1,2.0.1,Resolved to 86.107.36.73,2025-02-12T12:02:42.364000,success,"HTTPS GET request returned 200, redirected: False",2025-02-12T12:02:42.367000,success,,2025-02-12T12:02:42.374000,success
04UY8I1H,https://www.titolivionapoli.edu.it/,,,,,,1.6.4,1.6.4,Resolved to 217.27.72.228,2025-02-12T12:02:43.777000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:43.778000,success,,2025-02-12T12:02:43.779000,success
055,https://www.uslumbria2.it,,,,,,,,Resolved to 46.254.154.33,2025-02-12T12:02:44.804000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:44.805000,success,,2025-02-12T12:02:44.806000,success
02ZMKEL0,https://www.cesenaticoservizi.it/,,,,,,,,Resolved to 89.46.109.19,2025-02-12T12:02:42.366000,success,"HTTPS GET request returned 200, redirected: False",2025-02-12T12:02:42.369000,success,,2025-02-12T12:02:42.403000,success
054,https://www.uslumbria1.it,,,,,,,,Resolved to 64.113.59.133,2025-02-12T12:02:43.959000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:43.960000,success,,2025-02-12T12:02:43.961000,success
056,www.asl.vt.it,,,,,,,,Resolved to 81.126.91.3,2025-02-12T12:02:45.194000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:45.195000,success,,2025-02-12T12:02:45.196000,fail
058,https://www.aslroma5.info,,,,,,,,Resolved to 89.46.104.41,2025-02-12T12:02:46.634000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:46.636000,success,,2025-02-12T12:02:46.637000,success
05O3YE9M,www.ittcolombo.edu.it,,,,,,1.6.4,1.6.4,Resolved to 217.27.72.228,2025-02-12T12:02:47.853000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:47.854000,success,,2025-02-12T12:02:47.855000,success
05O9EJDW,www.capitalelavoro.it,,,,,,,,Resolved to 85.18.173.126,2025-02-12T12:02:48.064000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:48.065000,success,,2025-02-12T12:02:48.068000,success
07WB8QXR,https://dogresrl.it/,,,,,,,,Resolved to 86.105.14.23,2025-02-12T12:02:49.346000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:49.347000,success,,2025-02-12T12:02:49.348000,success
080,www.asp.rc.it,,,,,,2.0.2,2.0.2,Resolved to 81.126.88.252,2025-02-12T12:02:49.822000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:49.823000,success,,2025-02-12T12:02:49.823000,success
092,www.aobrotzu.it,,,,,,,,Resolved to 79.72.40.71,2025-02-12T12:02:50.278000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:50.278000,success,,2025-02-12T12:02:50.279000,success
05GYSWFH,www.casaospitalita.it,,,,,,,,Resolved to 168.119.243.185,2025-02-12T12:02:47.264000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:47.265000,success,,2025-02-12T12:02:47.266000,success
05TY94LO,www.monzamobilita.it,,,,,,,,Resolved to 213.158.94.245,2025-02-12T12:02:49.026000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:49.027000,success,,2025-02-12T12:02:49.028000,success
093,https://asfo.sanita.fvg.it,,,,,,,,Resolved to 193.43.177.50,2025-02-12T12:02:51.296000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:51.297000,success,,2025-02-12T12:02:51.298000,success
0DWK5DFK,https://www.liceoboccioni.edu.it/,,,,,,2.0.1,2.0.1,Resolved to 86.107.32.150,2025-02-12T12:02:53.175000,success,"HTTPS GET request returned 200, redirected: False",2025-02-12T12:02:53.175000,success,,2025-02-12T12:02:53.176000,success
0BLX4BBP,www.investimentispa.it,,,,,,,,Resolved to 195.250.254.199,2025-02-12T12:02:52.484000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:52.486000,success,,2025-02-12T12:02:52.491000,success
0LWWUVBK,www.acer.re.it,,,,,,,,Resolved to 81.88.53.49,2025-02-12T12:02:54.426000,success,"HTTPS GET request returned 200, redirected: True",2025-02-12T12:02:54.429000,success,,2025-02-12T12:02:54.433000,success
